trial_nr,dataset,model,optimizer,seed,val_auroc,val_accuracy,train_time,config
7,bank_marketing,mlp,bo,123,0.9039524551381917,0.8971238938053098,3.147130250930786,"{""learning_rate"": 4.022627417887437e-05, ""batch_size"": 128, ""hidden_dim"": 181, ""dropout"": 0.052954242528406914, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 3.462192769900677e-05, ""activation"": ""tanh""}"
8,bank_marketing,mlp,bo,123,0.9081876406439329,0.8993362831858407,3.99308443069458,"{""learning_rate"": 4.834230085303159e-05, ""batch_size"": 16, ""hidden_dim"": 149, ""dropout"": 0.001344032287160346, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.008600496820728219, ""activation"": ""tanh""}"
9,bank_marketing,mlp,bo,123,0.9090531417690844,0.9004424778761062,5.376354455947876,"{""learning_rate"": 0.016899534284870444, ""batch_size"": 32, ""hidden_dim"": 226, ""dropout"": 0.4917608046017778, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 1.5397247893973888e-05, ""activation"": ""relu""}"
10,bank_marketing,mlp,bo,123,0.9073682995787894,0.8960176991150443,3.1538896560668945,"{""learning_rate"": 0.0006755352100120791, ""batch_size"": 16, ""hidden_dim"": 220, ""dropout"": 0.08296894210347694, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0035598128851695525, ""activation"": ""relu""}"
11,bank_marketing,mlp,bo,123,0.9063066181986037,0.911504424778761,2.103203773498535,"{""learning_rate"": 0.0027279454010126483, ""batch_size"": 64, ""hidden_dim"": 66, ""dropout"": 0.2163269960231779, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.00012455926649467656, ""activation"": ""relu""}"
12,bank_marketing,mlp,bo,123,0.9010559113726848,0.9037610619469026,2.360780715942383,"{""learning_rate"": 0.08813658633452347, ""batch_size"": 32, ""hidden_dim"": 102, ""dropout"": 0.3199538291430484, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 2.499015895353528e-05, ""activation"": ""relu""}"
13,bank_marketing,mlp,bo,123,0.9001327101725234,0.8971238938053098,2.3928017616271973,"{""learning_rate"": 0.009473777992744924, ""batch_size"": 64, ""hidden_dim"": 187, ""dropout"": 0.14516144635163314, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.00019548268878535188, ""activation"": ""relu""}"
14,bank_marketing,mlp,bo,123,0.9137037678148983,0.9037610619469026,2.385136127471924,"{""learning_rate"": 0.08874140000514648, ""batch_size"": 32, ""hidden_dim"": 256, ""dropout"": 0.3011537437442835, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 3.344391361236883e-05, ""activation"": ""relu""}"
15,bank_marketing,mlp,bo,123,0.8891235358605967,0.879424778761062,1.9529237747192383,"{""learning_rate"": 0.049420427404842183, ""batch_size"": 64, ""hidden_dim"": 34, ""dropout"": 0.302323503012231, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0007097055220812181, ""activation"": ""relu""}"
16,bank_marketing,mlp,bo,123,0.49208931971611564,0.7488938053097345,1.635225534439087,"{""learning_rate"": 0.0023717491322043133, ""batch_size"": 64, ""hidden_dim"": 104, ""dropout"": 0.26612463328718644, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 7.238179765625817e-05, ""activation"": ""relu""}"
17,bank_marketing,mlp,bo,123,0.8901275171657723,0.9037610619469026,14.873413562774658,"{""learning_rate"": 1.0335283638485061e-05, ""batch_size"": 32, ""hidden_dim"": 190, ""dropout"": 0.3952391597104366, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 5.0412968476461656e-05, ""activation"": ""relu""}"
18,bank_marketing,mlp,bo,123,0.9075644798338238,0.9059734513274337,4.055261850357056,"{""learning_rate"": 0.002023003559328429, ""batch_size"": 32, ""hidden_dim"": 124, ""dropout"": 0.13802253698593558, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0006878050271806994, ""activation"": ""tanh""}"
19,bank_marketing,mlp,bo,123,0.4630950320235417,0.16924778761061948,1.651989221572876,"{""learning_rate"": 0.0002473324673566275, ""batch_size"": 64, ""hidden_dim"": 48, ""dropout"": 0.20498339491376494, ""num_layers"": 3, ""optimizer_name"": ""sgd"", ""weight_decay"": 1.017401179650334e-06, ""activation"": ""relu""}"
20,bank_marketing,mlp,bo,123,0.8998557498124748,0.9004424778761062,3.206524610519409,"{""learning_rate"": 0.0058145219591275036, ""batch_size"": 32, ""hidden_dim"": 253, ""dropout"": 0.2712299707869676, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.855303754780951e-06, ""activation"": ""tanh""}"
