dataset,seed,method,model_type,val_auroc,test_auroc,duration_s,best_config
diabetes,456,acrs,mlp,0.8622,0.8441,57.6,"{""learning_rate"": 0.000756298044469306, ""batch_size"": 32, ""hidden_dim"": 132, ""dropout"": 0.06202840304982771, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
diabetes,456,acrs,rf,0.8583,0.8472,24.6,"{""n_estimators"": 180, ""max_depth"": 18, ""min_samples_split"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.9036989373500177}"
bank_marketing,42,bo,mlp,0.9209,0.8921,1110.4,"{""learning_rate"": 0.0045485411265658, ""batch_size"": 16, ""hidden_dim"": 149, ""dropout"": 0.4721976585633539, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0015850912800016244, ""activation"": ""tanh""}"
bank_marketing,42,bo,rf,0.9257,0.9159,520.4,"{""n_estimators"": 243, ""max_depth"": 19, ""min_samples_split"": 15, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""criterion"": ""gini"", ""max_samples"": 0.6969383989121674}"
bank_marketing,42,acrs,mlp,0.9236,0.8855,181.8,"{""learning_rate"": 0.012468786659075646, ""batch_size"": 64, ""hidden_dim"": 83, ""dropout"": 0.42929895995569123, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 4.141502885405811e-06, ""activation"": ""tanh""}"
bank_marketing,42,acrs,rf,0.9252,0.9222,31.9,"{""n_estimators"": 231, ""max_depth"": 28, ""min_samples_split"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""criterion"": ""gini"", ""max_samples"": 0.9138155859962911}"
bank_marketing,123,bo,mlp,0.9211,0.91,847.2,"{""learning_rate"": 0.011076495817343816, ""batch_size"": 128, ""hidden_dim"": 58, ""dropout"": 0.3237204727471221, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.001206741377219677, ""activation"": ""tanh""}"
bank_marketing,123,bo,rf,0.9351,0.9225,541.5,"{""n_estimators"": 454, ""max_depth"": 25, ""min_samples_split"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8521439350977712}"
bank_marketing,123,acrs,mlp,0.9153,0.9214,273.9,"{""learning_rate"": 0.002528913730850552, ""batch_size"": 16, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 0.004725001678184218, ""activation"": ""relu""}"
bank_marketing,123,acrs,rf,0.9336,0.9231,22.9,"{""n_estimators"": 158, ""max_depth"": 22, ""min_samples_split"": 11, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""max_samples"": 0.5921859053493348}"
bank_marketing,456,bo,mlp,0.9364,0.9181,864.5,"{""learning_rate"": 9.88606900288563e-05, ""batch_size"": 64, ""hidden_dim"": 167, ""dropout"": 0.4428509515574568, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 3.840279003508742e-06, ""activation"": ""relu""}"
bank_marketing,456,bo,rf,0.9428,0.936,521.1,"{""n_estimators"": 147, ""max_depth"": 20, ""min_samples_split"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.7211911298542036}"
bank_marketing,456,acrs,mlp,0.9359,0.9189,204.1,"{""learning_rate"": 0.000756298044469306, ""batch_size"": 32, ""hidden_dim"": 242, ""dropout"": 0.47915445861546974, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
bank_marketing,456,acrs,rf,0.9422,0.9316,29.5,"{""n_estimators"": 209, ""max_depth"": 17, ""min_samples_split"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.8774249907380549}"
