dataset,seed,method,model_type,val_auroc,val_accuracy,test_auroc,test_accuracy,duration_s,energy_kwh,best_config
diabetes,456,bo,mlp,0.8787,0.8052,0.8422,0.7857,650.1,0.075728,"{""learning_rate"": 0.025343223922185208, ""batch_size"": 128, ""hidden_dim"": 61, ""dropout"": 0.4393843838836177, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 1.6143750130577408e-06, ""activation"": ""relu""}"
diabetes,456,bo,rf,0.8648,0.7597,0.8413,0.7857,515.1,0.060011,"{""n_estimators"": 133, ""max_depth"": 5, ""min_samples_split"": 18, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""criterion"": ""entropy"", ""max_samples"": 0.9013274517693293}"
diabetes,456,acrs,mlp,0.8672,0.7987,0.8469,0.7597,40.5,0.004717,"{""learning_rate"": 0.012906313356156919, ""batch_size"": 32, ""hidden_dim"": 132, ""dropout"": 0.13509036859198065, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
diabetes,456,acrs,rf,0.8689,0.7468,0.8424,0.7987,22.4,0.002611,"{""n_estimators"": 96, ""max_depth"": 16, ""min_samples_split"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""gini"", ""max_samples"": 0.5630857490906404}"
bank_marketing,42,bo,mlp,0.9234,0.9159,0.8968,0.9105,914.5,0.106445,"{""learning_rate"": 0.04071270172811703, ""batch_size"": 16, ""hidden_dim"": 192, ""dropout"": 0.4133175394735785, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 0.0050555292345196715, ""activation"": ""relu""}"
bank_marketing,42,bo,rf,0.9277,0.9015,0.9227,0.9127,545.3,0.06343,"{""n_estimators"": 483, ""max_depth"": 27, ""min_samples_split"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""gini"", ""max_samples"": 0.532815605910266}"
bank_marketing,42,acrs,mlp,0.9207,0.9181,0.8928,0.9094,382.0,0.044423,"{""learning_rate"": 0.000558302479900744, ""batch_size"": 16, ""hidden_dim"": 131, ""dropout"": 0.3158321995610324, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
bank_marketing,42,acrs,rf,0.9256,0.8971,0.9122,0.9083,65.7,0.007632,"{""n_estimators"": 467, ""max_depth"": 10, ""min_samples_split"": 16, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""criterion"": ""gini"", ""max_samples"": 0.5319086280520877}"
bank_marketing,123,bo,mlp,0.9177,0.9071,0.9174,0.9072,998.5,0.116296,"{""learning_rate"": 0.01485114098203229, ""batch_size"": 32, ""hidden_dim"": 39, ""dropout"": 0.36848324912769176, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 0.006274397768678873, ""activation"": ""relu""}"
bank_marketing,123,bo,rf,0.9346,0.9049,0.9239,0.8994,547.0,0.06369,"{""n_estimators"": 472, ""max_depth"": 20, ""min_samples_split"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.9689761809534146}"
bank_marketing,123,acrs,mlp,0.9125,0.917,0.9145,0.9083,167.1,0.019428,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 113, ""dropout"": 0.44888414446312874, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
bank_marketing,123,acrs,rf,0.9327,0.9015,0.9182,0.9006,50.8,0.005902,"{""n_estimators"": 464, ""max_depth"": 22, ""min_samples_split"": 13, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""max_samples"": 0.7136493856414751}"
bank_marketing,456,bo,mlp,0.9345,0.9181,0.9105,0.9138,912.3,0.10612,"{""learning_rate"": 0.0011251678991057816, ""batch_size"": 64, ""hidden_dim"": 119, ""dropout"": 0.15161314753562893, ""num_layers"": 3, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0030500731732821633, ""activation"": ""relu""}"
bank_marketing,456,bo,rf,0.9431,0.8971,0.9345,0.9017,544.1,0.063339,"{""n_estimators"": 308, ""max_depth"": 24, ""min_samples_split"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.7482121624956315}"
bank_marketing,456,acrs,mlp,0.9375,0.9204,0.9171,0.9017,216.3,0.025196,"{""learning_rate"": 0.000756298044469306, ""batch_size"": 32, ""hidden_dim"": 132, ""dropout"": 0.06202840304982771, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
bank_marketing,456,acrs,rf,0.9419,0.8982,0.9311,0.9006,37.1,0.004331,"{""n_estimators"": 209, ""max_depth"": 16, ""min_samples_split"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8774249907380549}"
