dataset,seed,method,model_type,val_auroc,test_auroc,duration_s,best_config
diabetes,456,acrs,mlp,0.8683,0.8237,43.9,"{""learning_rate"": 0.016966470206037868, ""batch_size"": 32, ""hidden_dim"": 132, ""dropout"": 0.06202840304982771, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""tanh""}"
diabetes,456,acrs,rf,0.8604,0.8422,25.4,"{""n_estimators"": 209, ""max_depth"": 27, ""min_samples_split"": 10, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.6821866540901571}"
bank_marketing,42,bo,mlp,0.9263,0.8866,1006.1,"{""learning_rate"": 0.09878521576463747, ""batch_size"": 128, ""hidden_dim"": 140, ""dropout"": 0.3103504097883667, ""num_layers"": 3, ""optimizer_name"": ""sgd"", ""weight_decay"": 2.2364331630796283e-06, ""activation"": ""relu""}"
bank_marketing,42,bo,rf,0.9273,0.9151,561.6,"{""n_estimators"": 477, ""max_depth"": 18, ""min_samples_split"": 20, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""gini"", ""max_samples"": 0.8064514831975773}"
bank_marketing,42,acrs,mlp,0.9219,0.9077,128.6,"{""learning_rate"": 0.003458384531216487, ""batch_size"": 128, ""hidden_dim"": 83, ""dropout"": 0.3498535669053748, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 6.849566747840923e-05, ""activation"": ""tanh""}"
bank_marketing,42,acrs,rf,0.9254,0.9174,58.0,"{""n_estimators"": 467, ""max_depth"": 23, ""min_samples_split"": 14, ""max_features"": ""log2"", ""min_samples_leaf"": 3, ""criterion"": ""gini"", ""max_samples"": 0.8486840145296819}"
bank_marketing,123,bo,mlp,0.9138,0.9103,1020.2,"{""learning_rate"": 0.004618172915261199, ""batch_size"": 32, ""hidden_dim"": 99, ""dropout"": 0.2900841512472882, ""num_layers"": 2, ""optimizer_name"": ""sgd"", ""weight_decay"": 8.636004985277715e-05, ""activation"": ""relu""}"
bank_marketing,123,bo,rf,0.9349,0.9205,552.6,"{""n_estimators"": 360, ""max_depth"": 24, ""min_samples_split"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.5822558568288949}"
bank_marketing,123,acrs,mlp,0.9111,0.9067,130.1,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.15943728936719154, ""num_layers"": 1, ""optimizer_name"": ""adam"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
bank_marketing,123,acrs,rf,0.9354,0.9227,53.2,"{""n_estimators"": 421, ""max_depth"": 24, ""min_samples_split"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.6287812524547619}"
bank_marketing,456,bo,mlp,0.936,0.9237,1046.2,"{""learning_rate"": 8.090876858617455e-05, ""batch_size"": 16, ""hidden_dim"": 244, ""dropout"": 0.2659560679096792, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 3.6852607971622725e-05, ""activation"": ""relu""}"
bank_marketing,456,bo,rf,0.9419,0.9339,561.3,"{""n_estimators"": 336, ""max_depth"": 30, ""min_samples_split"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.7381952965787528}"
bank_marketing,456,acrs,mlp,0.9378,0.919,172.3,"{""learning_rate"": 0.000756298044469306, ""batch_size"": 64, ""hidden_dim"": 74, ""dropout"": 0.06202840304982771, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0077974719130582655, ""activation"": ""relu""}"
bank_marketing,456,acrs,rf,0.9429,0.9307,30.2,"{""n_estimators"": 209, ""max_depth"": 29, ""min_samples_split"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8774249907380549}"
