trial_nr,dataset,model,optimizer,seed,val_auroc,val_accuracy,train_time,config
19,bank_marketing,mlp,acrs,123,0.8995557094224222,0.9015486725663717,1.3627357482910156,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
20,bank_marketing,mlp,acrs,123,0.9097109226241994,0.911504424778761,1.6466238498687744,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 2, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
21,bank_marketing,mlp,acrs,123,0.90879926143904,0.9048672566371682,1.1177408695220947,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
22,bank_marketing,mlp,acrs,123,0.895332063931683,0.9048672566371682,1.246795654296875,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 163, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
23,bank_marketing,mlp,acrs,123,0.8995903294674285,0.9070796460176991,1.1530072689056396,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 125, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
24,bank_marketing,mlp,acrs,123,0.900559690727598,0.9015486725663717,0.9837265014648438,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 73, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
25,bank_marketing,mlp,acrs,123,0.8912584386359702,0.9070796460176991,0.9906692504882812,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 113, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
26,bank_marketing,mlp,acrs,123,0.9037331948531534,0.9015486725663717,1.3339948654174805,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 35, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
27,bank_marketing,mlp,acrs,123,0.904125555363222,0.9015486725663717,1.0282330513000488,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 7.66536634448687e-05, ""activation"": ""tanh""}"
28,bank_marketing,mlp,acrs,123,0.897132306271998,0.9004424778761062,1.3510079383850098,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0008184144952618518, ""activation"": ""tanh""}"
29,bank_marketing,mlp,acrs,123,0.9024060931279212,0.9081858407079646,1.2710673809051514,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.004725001678184218, ""activation"": ""tanh""}"
30,bank_marketing,mlp,acrs,123,0.9061796780335815,0.9070796460176991,1.9549899101257324,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.00031778692374184714, ""activation"": ""tanh""}"
31,bank_marketing,mlp,acrs,123,0.901113611447695,0.9081858407079646,1.0590732097625732,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.004661120067103082, ""activation"": ""tanh""}"
32,bank_marketing,mlp,acrs,123,0.9094801223241591,0.9026548672566371,2.488384246826172,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.4323451255468874, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
33,bank_marketing,mlp,acrs,123,0.9008481911026485,0.9103982300884956,1.1448924541473389,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.10907143662499397, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
34,bank_marketing,mlp,acrs,123,0.9018060123478161,0.9103982300884956,1.1827807426452637,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.43306371536912147, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
35,bank_marketing,mlp,acrs,123,0.8969361260169638,0.9026548672566371,1.552579402923584,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.3653759681856269, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
36,bank_marketing,mlp,acrs,123,0.902383013097917,0.9126106194690266,1.2865169048309326,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.1389326451494639, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
37,bank_marketing,mlp,acrs,123,0.8955513242167215,0.9015486725663717,0.9847249984741211,"{""learning_rate"": 0.01542319014176819, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
38,bank_marketing,mlp,acrs,123,0.8965553055218973,0.8993362831858407,0.8259601593017578,"{""learning_rate"": 0.028899268590963246, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
39,bank_marketing,mlp,acrs,123,0.9045525359182968,0.8960176991150443,2.068540334701538,"{""learning_rate"": 0.0001576709130434277, ""batch_size"": 64, ""hidden_dim"": 44, ""dropout"": 0.11017993638630569, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""tanh""}"
