dataset,seed,method,model_type,val_auroc,val_accuracy,test_auroc,test_accuracy,duration_s,energy_kwh,best_config
breast_cancer,42,acrs,rf,0.9876,0.9561,0.9917,0.9474,72.8,0.008505,"{""n_estimators"": 467, ""max_depth"": 24, ""min_samples_split"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""max_samples"": 0.8486840145296819}"
breast_cancer,456,acrs,rf,0.9931,0.9474,0.9793,0.9649,34.5,0.004015,"{""n_estimators"": 155, ""max_depth"": 11, ""min_samples_split"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.8774249907380549}"
breast_cancer,123,bo,rf,0.991,0.9474,0.998,0.9649,704.8,0.08205,"{""n_estimators"": 143, ""max_depth"": 15, ""min_samples_split"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.6960559051434649}"
breast_cancer,42,bo,rf,0.9885,0.9561,0.9921,0.9474,709.3,0.082645,"{""n_estimators"": 244, ""max_depth"": 11, ""min_samples_split"": 13, ""max_features"": ""log2"", ""min_samples_leaf"": 4, ""criterion"": ""entropy"", ""max_samples"": 0.5998368910791798}"
breast_cancer,456,bo,rf,0.9928,0.9474,0.9797,0.9649,721.7,0.083843,"{""n_estimators"": 51, ""max_depth"": 25, ""min_samples_split"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 3, ""criterion"": ""entropy"", ""max_samples"": 0.6915260174595194}"
diabetes,123,acrs,mlp,0.8522,0.7532,0.8644,0.7597,54.9,0.006386,"{""learning_rate"": 0.005362995752391278, ""batch_size"": 128, ""hidden_dim"": 44, ""dropout"": 0.24974337515150863, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 5.053864622671843e-06, ""activation"": ""relu""}"
diabetes,42,acrs,mlp,0.8857,0.8247,0.8244,0.7273,55.6,0.006473,"{""learning_rate"": 0.012468786659075646, ""batch_size"": 16, ""hidden_dim"": 219, ""dropout"": 0.17726298406493418, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.3807258718953543e-06, ""activation"": ""relu""}"
diabetes,456,acrs,mlp,0.865,0.7857,0.8491,0.7857,132.3,0.01538,"{""learning_rate"": 0.000756298044469306, ""batch_size"": 16, ""hidden_dim"": 132, ""dropout"": 0.06202840304982771, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 2.0050344809789915e-05, ""activation"": ""relu""}"
diabetes,123,bo,mlp,0.8574,0.7597,0.8631,0.7727,854.8,0.099365,"{""learning_rate"": 0.022379290116676515, ""batch_size"": 64, ""hidden_dim"": 158, ""dropout"": 0.4650967984039759, ""num_layers"": 2, ""optimizer_name"": ""adam"", ""weight_decay"": 0.0003609805362798353, ""activation"": ""relu""}"
diabetes,42,bo,mlp,0.8807,0.7403,0.78,0.7468,896.0,0.104128,"{""learning_rate"": 0.03915281828644321, ""batch_size"": 64, ""hidden_dim"": 239, ""dropout"": 0.07167937264883453, ""num_layers"": 3, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.000111146977872357, ""activation"": ""relu""}"
diabetes,456,bo,mlp,0.8711,0.7727,0.8331,0.7727,841.8,0.097841,"{""learning_rate"": 0.016465269561114396, ""batch_size"": 32, ""hidden_dim"": 200, ""dropout"": 0.43345670705200545, ""num_layers"": 1, ""optimizer_name"": ""adamw"", ""weight_decay"": 0.0017128657901849915, ""activation"": ""relu""}"
diabetes,123,acrs,rf,0.8531,0.7857,0.8411,0.7727,15.2,0.00176,"{""n_estimators"": 56, ""max_depth"": 22, ""min_samples_split"": 13, ""max_features"": ""log2"", ""min_samples_leaf"": 10, ""criterion"": ""gini"", ""max_samples"": 0.5357434033116985}"
diabetes,42,acrs,rf,0.8754,0.8117,0.8183,0.7338,40.6,0.00472,"{""n_estimators"": 90, ""max_depth"": 24, ""min_samples_split"": 18, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""max_samples"": 0.6561833206910206}"
diabetes,456,acrs,rf,0.8593,0.7208,0.8456,0.7857,34.5,0.004004,"{""n_estimators"": 209, ""max_depth"": 29, ""min_samples_split"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""criterion"": ""gini"", ""max_samples"": 0.8774249907380549}"
diabetes,123,bo,rf,0.8535,0.7662,0.8581,0.7922,664.0,0.077189,"{""n_estimators"": 292, ""max_depth"": 7, ""min_samples_split"": 17, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""max_samples"": 0.9869844021295201}"
diabetes,42,bo,rf,0.8772,0.7922,0.8189,0.7338,719.4,0.083605,"{""n_estimators"": 157, ""max_depth"": 20, ""min_samples_split"": 17, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""max_samples"": 0.7477168684600106}"
diabetes,456,bo,rf,0.8607,0.7597,0.8307,0.7987,658.5,0.076539,"{""n_estimators"": 65, ""max_depth"": 8, ""min_samples_split"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""criterion"": ""entropy"", ""max_samples"": 0.7573836487892407}"
